Strike,LTP,Target_Premium,SL_Premium,Capital_Per_Lot,Profit_Per_Lot,Loss_Per_Lot,Profit_,Loss_,Delta,Gamma,IV_Used,OI,Lot_Size
22950.0,2284.8,,,171360.0,,,,,,,,75.0,75
23000.0,2165.65,,,162423.75,,,,,,,,24525.0,75
23050.0,2150.0,,,161250.0,,,,,,,,1350.0,75
23100.0,2058.2,,,154365.0,,,,,,,,150.0,75
23150.0,2250.0,,,168750.0,,,,,,,,150.0,75
23200.0,2190.0,,,164250.0,,,,,,,,75.0,75
23250.0,2039.45,,,152958.75,,,,,,,,150.0,75
23300.0,1915.0,,,143625.0,,,,,,,,300.0,75
23350.0,0.0,,,,,,,,,,,0.0,75
23400.0,1775.0,,,133125.0,,,,,,,,2475.0,75
23450.0,1808.0,,,135600.0,,,,,,,,825.0,75
23500.0,1670.95,,,125321.25,,,,,,,,8250.0,75
23550.0,1622.0,,,121650.0,,,,,,,,1575.0,75
23600.0,1570.25,,,117768.75,,,,,,,,300.0,75
23650.0,1732.45,,,129933.75,,,,,,,,225.0,75
23700.0,1495.7,,,112177.5,,,,,,,,2775.0,75
23750.0,1395.0,,,104625.0,,,,,,,,225.0,75
23800.0,1435.0,,,107625.0,,,,,,,,2925.0,75
23850.0,1395.0,,,104625.0,,,,,,,,450.0,75
23900.0,1300.0,,,97500.0,,,,,,,,2100.0,75
23950.0,1273.55,,,95516.25,,,,,,,,975.0,75
24000.0,1170.4,,,87780.0,,,,,,,,213975.0,75
24050.0,1173.2,,,87990.0,,,,,,,,675.0,75
24100.0,1064.55,,,79841.25,,,,,,,,4350.0,75
24150.0,1016.15,,,76211.25,,,,,,,,2100.0,75
24200.0,966.75,,,72506.25,,,,,,,,12525.0,75
24250.0,973.0,,,72975.0,,,,,,,,2025.0,75
24300.0,879.55,,,65966.25,,,,,,,,6075.0,75
24350.0,817.6,,,61320.0,,,,,,,,1950.0,75
24400.0,763.8,,,57285.0,,,,,,,,10650.0,75
24450.0,717.25,,,53793.75,,,,,,,,1875.0,75
24500.0,671.5,,,50362.5,,,,,,,,96900.0,75
24550.0,628.75,,,47156.25,,,,,,,,3675.0,75
24600.0,570.0,,,42750.0,,,,,,,,21825.0,75
24650.0,519.95,,,38996.25,,,,,,,,7575.0,75
24700.0,471.1,,,35332.5,,,,,,,,41625.0,75
24750.0,420.15,,,31511.25,,,,,,,,24450.0,75
24800.0,369.9,,,27742.5,,,,,,,,172275.0,75
24850.0,320.0,,,24000.0,,,,,,,,47475.0,75
24900.0,270.6,,,20295.0,,,,,,,,308025.0,75
24950.0,221.3,314.67,178.22,16597.5,7002.83,3231.05,42.19,19.47,0.9651,0.000444,53.53,235650.0,75
25000.0,172.5,264.56,131.36,12937.5,6904.49,3085.78,53.37,23.85,0.9617,0.000557,45.96,2586300.0,75
